ticker,name,exchange,sector,industry,country,currency,source
BIGCH.IS,BUYUK SEFLER BIGCHEFS,BIST,,,TR,TRY,borsa_istanbul
BIGEN.IS,BIRLESIM GRUP ENERJI,BIST,,,TR,TRY,borsa_istanbul
BIGTK.IS,BIG MEDYA TEKNOLOJI,BIST,,,TR,TRY,borsa_istanbul
BIMAS.IS,BIM MAGAZALAR,BIST,,,TR,TRY,borsa_istanbul
BINBN.IS,BIN ULASIM TEKNOLOJILERI,BIST,,,TR,TRY,borsa_istanbul
BINHO.IS,1000 YATIRIMLAR HOL.,BIST,,,TR,TRY,borsa_istanbul
BIOEN.IS,BIOTREND CEVRE VE ENERJI,BIST,,,TR,TRY,borsa_istanbul
BJKAS.IS,BESIKTAS FUTBOL YAT.,BIST,,,TR,TRY,borsa_istanbul
BLCYT.IS,BILICI YATIRIM,BIST,,,TR,TRY,borsa_istanbul
BLUME.IS,BLUME METAL KIMYA,BIST,,,TR,TRY,borsa_istanbul
BMSCH.IS,BMS CELIK HASIR,BIST,,,TR,TRY,borsa_istanbul
BMSTL.IS,BMS BIRLESIK METAL,BIST,,,TR,TRY,borsa_istanbul
BNTAS.IS,BANTAS AMBALAJ,BIST,,,TR,TRY,borsa_istanbul
BOBET.IS,BOGAZICI BETON SANAYI,BIST,,,TR,TRY,borsa_istanbul
BORLS.IS,BORLEASE OTOMOTIV,BIST,,,TR,TRY,borsa_istanbul
BORSK.IS,BOR SEKER,BIST,,,TR,TRY,borsa_istanbul
BOSSA.IS,BOSSA,BIST,,,TR,TRY,borsa_istanbul
BRISA.IS,BRISA,BIST,,,TR,TRY,borsa_istanbul
BRKVY.IS,BIRIKIM VARLIK YONETIM,BIST,,,TR,TRY,borsa_istanbul
BRLSM.IS,BIRLESIM MUHENDISLIK,BIST,,,TR,TRY,borsa_istanbul
BRSAN.IS,BORUSAN BORU SANAYI,BIST,,,TR,TRY,borsa_istanbul
BRYAT.IS,BORUSAN YAT. PAZ.,BIST,,,TR,TRY,borsa_istanbul
BSOKE.IS,BATISOKE CIMENTO,BIST,,,TR,TRY,borsa_istanbul
BTCIM.IS,BATI CIMENTO,BIST,,,TR,TRY,borsa_istanbul
BUCIM.IS,BURSA CIMENTO,BIST,,,TR,TRY,borsa_istanbul
BULGS.IS,BULLS GSYO,BIST,,,TR,TRY,borsa_istanbul
BURCE.IS,BURCELIK,BIST,,,TR,TRY,borsa_istanbul
BVSAN.IS,BULBULOGLU VINC,BIST,,,TR,TRY,borsa_istanbul
CANTE.IS,CAN2 TERMIK,BIST,,,TR,TRY,borsa_istanbul
CATES.IS,CATES ELEKTRIK,BIST,,,TR,TRY,borsa_istanbul
CCOLA.IS,COCA COLA ICECEK,BIST,,,TR,TRY,borsa_istanbul
CELHA.IS,CELIK HALAT,BIST,,,TR,TRY,borsa_istanbul
CEMAS.IS,CEMAS DOKUM,BIST,,,TR,TRY,borsa_istanbul
CEMTS.IS,CEMTAS,BIST,,,TR,TRY,borsa_istanbul
CEMZY.IS,CEM ZEYTIN,BIST,,,TR,TRY,borsa_istanbul
CEOEM.IS,CEO EVENT MEDYA,BIST,,,TR,TRY,borsa_istanbul
CGCAM.IS,CAGDAS CAM,BIST,,,TR,TRY,borsa_istanbul
CIMSA.IS,CIMSA,BIST,,,TR,TRY,borsa_istanbul
CLEBI.IS,CELEBI,BIST,,,TR,TRY,borsa_istanbul
CMBTN.IS,CIMBETON,BIST,,,TR,TRY,borsa_istanbul
