ticker,name,exchange,sector,industry,country,currency,source
AEFES.IS,ANADOLU EFES,BIST,,,TR,TRY,borsa_istanbul
AGHOL.IS,ANADOLU GRUBU HOLDING,BIST,,,TR,TRY,borsa_istanbul
AKBNK.IS,AKBANK,BIST,,,TR,TRY,borsa_istanbul
AKSA.IS,AKSA,BIST,,,TR,TRY,borsa_istanbul
AKSEN.IS,AKSA ENERJI,BIST,,,TR,TRY,borsa_istanbul
ALARK.IS,ALARKO HOLDING,BIST,,,TR,TRY,borsa_istanbul
ALTNY.IS,ALTINAY SAVUNMA,BIST,,,TR,TRY,borsa_istanbul
ANSGR.IS,ANADOLU SIGORTA,BIST,,,TR,TRY,borsa_istanbul
ARCLK.IS,ARCELIK,BIST,,,TR,TRY,borsa_istanbul
ASELS.IS,ASELSAN,BIST,,,TR,TRY,borsa_istanbul
ASTOR.IS,ASTOR ENERJI,BIST,,,TR,TRY,borsa_istanbul
BALSU.IS,BALSU GIDA,BIST,,,TR,TRY,borsa_istanbul
BIMAS.IS,BIM MAGAZALAR,BIST,,,TR,TRY,borsa_istanbul
BRSAN.IS,BORUSAN BORU SANAYI,BIST,,,TR,TRY,borsa_istanbul
BRYAT.IS,BORUSAN YAT. PAZ.,BIST,,,TR,TRY,borsa_istanbul
BSOKE.IS,BATISOKE CIMENTO,BIST,,,TR,TRY,borsa_istanbul
BTCIM.IS,BATI CIMENTO,BIST,,,TR,TRY,borsa_istanbul
CANTE.IS,CAN2 TERMIK,BIST,,,TR,TRY,borsa_istanbul
CCOLA.IS,COCA COLA ICECEK,BIST,,,TR,TRY,borsa_istanbul
CIMSA.IS,CIMSA,BIST,,,TR,TRY,borsa_istanbul
CWENE.IS,CW ENERJI,BIST,,,TR,TRY,borsa_istanbul
DAPGM.IS,DAP GAYRIMENKUL,BIST,,,TR,TRY,borsa_istanbul
DOAS.IS,DOGUS OTOMOTIV,BIST,,,TR,TRY,borsa_istanbul
DOHOL.IS,DOGAN HOLDING,BIST,,,TR,TRY,borsa_istanbul
DSTKF.IS,DESTEK FINANS FAKTORING,BIST,,,TR,TRY,borsa_istanbul
ECILC.IS,ECZACIBASI ILAC,BIST,,,TR,TRY,borsa_istanbul
EFOR.IS,EFOR YATIRIM,BIST,,,TR,TRY,borsa_istanbul
EGEEN.IS,EGE ENDUSTRI,BIST,,,TR,TRY,borsa_istanbul
EKGYO.IS,EMLAK KONUT GMYO,BIST,,,TR,TRY,borsa_istanbul
ENERY.IS,ENERYA ENERJI,BIST,,,TR,TRY,borsa_istanbul
ENJSA.IS,ENERJISA ENERJI,BIST,,,TR,TRY,borsa_istanbul
ENKAI.IS,ENKA INSAAT,BIST,,,TR,TRY,borsa_istanbul
EREGL.IS,EREGLI DEMIR CELIK,BIST,,,TR,TRY,borsa_istanbul
EUPWR.IS,EUROPOWER ENERJI,BIST,,,TR,TRY,borsa_istanbul
FENER.IS,FENERBAHCE FUTBOL,BIST,,,TR,TRY,borsa_istanbul
FROTO.IS,FORD OTOSAN,BIST,,,TR,TRY,borsa_istanbul
GARAN.IS,GARANTI BANKASI,BIST,,,TR,TRY,borsa_istanbul
GENIL.IS,GEN ILAC,BIST,,,TR,TRY,borsa_istanbul
GESAN.IS,GIRISIM ELEKTRIK SANAYI,BIST,,,TR,TRY,borsa_istanbul
GLRMK.IS,GULERMAK AGIR SANAYI,BIST,,,TR,TRY,borsa_istanbul
GRSEL.IS,GUR-SEL TURIZM TASIMACILIK,BIST,,,TR,TRY,borsa_istanbul
GRTHO.IS,GRAINTURK HOLDING,BIST,,,TR,TRY,borsa_istanbul
GSRAY.IS,GALATASARAY SPORTIF,BIST,,,TR,TRY,borsa_istanbul
GUBRF.IS,GUBRE FABRIK.,BIST,,,TR,TRY,borsa_istanbul
HALKB.IS,T. HALK BANKASI,BIST,,,TR,TRY,borsa_istanbul
HEKTS.IS,HEKTAS,BIST,,,TR,TRY,borsa_istanbul
ISCTR.IS,IS BANKASI (C),BIST,,,TR,TRY,borsa_istanbul
ISMEN.IS,IS Y. MEN. DEG.,BIST,,,TR,TRY,borsa_istanbul
IZENR.IS,IZDEMIR ENERJI,BIST,,,TR,TRY,borsa_istanbul
KCAER.IS,KOCAER CELIK,BIST,,,TR,TRY,borsa_istanbul
KCHOL.IS,KOC HOLDING,BIST,,,TR,TRY,borsa_istanbul
KLRHO.IS,KILER HOLDING,BIST,,,TR,TRY,borsa_istanbul
KONTR.IS,KONTROLMATIK TEKNOLOJI,BIST,,,TR,TRY,borsa_istanbul
KRDMD.IS,KARDEMIR (D),BIST,,,TR,TRY,borsa_istanbul
KTLEV.IS,KATILIMEVIM TAS. FIN.,BIST,,,TR,TRY,borsa_istanbul
KUYAS.IS,KUYAS YATIRIM,BIST,,,TR,TRY,borsa_istanbul
MAGEN.IS,MARGUN ENERJI,BIST,,,TR,TRY,borsa_istanbul
MAVI.IS,MAVI GIYIM,BIST,,,TR,TRY,borsa_istanbul
MGROS.IS,MIGROS TICARET,BIST,,,TR,TRY,borsa_istanbul
MIATK.IS,MIA TEKNOLOJI,BIST,,,TR,TRY,borsa_istanbul
MPARK.IS,MLP SAGLIK,BIST,,,TR,TRY,borsa_istanbul
OBAMS.IS,OBA MAKARNACILIK,BIST,,,TR,TRY,borsa_istanbul
ODAS.IS,ODAS ELEKTRIK,BIST,,,TR,TRY,borsa_istanbul
OTKAR.IS,OTOKAR,BIST,,,TR,TRY,borsa_istanbul
OYAKC.IS,OYAK CIMENTO,BIST,,,TR,TRY,borsa_istanbul
PASEU.IS,PASIFIK EURASIA LOJISTIK,BIST,,,TR,TRY,borsa_istanbul
PATEK.IS,PASIFIK TEKNOLOJI,BIST,,,TR,TRY,borsa_istanbul
PETKM.IS,PETKIM,BIST,,,TR,TRY,borsa_istanbul
PGSUS.IS,PEGASUS,BIST,,,TR,TRY,borsa_istanbul
QUAGR.IS,QUA GRANITE HAYAL YAPI,BIST,,,TR,TRY,borsa_istanbul
RALYH.IS,RAL YATIRIM HOLDING,BIST,,,TR,TRY,borsa_istanbul
REEDR.IS,REEDER TEKNOLOJI,BIST,,,TR,TRY,borsa_istanbul
SAHOL.IS,SABANCI HOLDING,BIST,,,TR,TRY,borsa_istanbul
SASA.IS,SASA POLYESTER,BIST,,,TR,TRY,borsa_istanbul
SISE.IS,SISE CAM,BIST,,,TR,TRY,borsa_istanbul
SKBNK.IS,SEKERBANK,BIST,,,TR,TRY,borsa_istanbul
SOKM.IS,SOK MARKETLER TICARET,BIST,,,TR,TRY,borsa_istanbul
TABGD.IS,TAB GIDA,BIST,,,TR,TRY,borsa_istanbul
TAVHL.IS,TAV HAVALIMANLARI,BIST,,,TR,TRY,borsa_istanbul
TCELL.IS,TURKCELL,BIST,,,TR,TRY,borsa_istanbul
THYAO.IS,TURK HAVA YOLLARI,BIST,,,TR,TRY,borsa_istanbul
TKFEN.IS,TEKFEN HOLDING,BIST,,,TR,TRY,borsa_istanbul
TOASO.IS,TOFAS OTO. FAB.,BIST,,,TR,TRY,borsa_istanbul
TRALT.IS,TURK ALTIN ISLETMELERI,BIST,,,TR,TRY,borsa_istanbul
TRENJ.IS,TR DOGAL ENERJI,BIST,,,TR,TRY,borsa_istanbul
TRMET.IS,TR ANADOLU METAL MADENCILIK,BIST,,,TR,TRY,borsa_istanbul
TSKB.IS,T.S.K.B.,BIST,,,TR,TRY,borsa_istanbul
TSPOR.IS,TRABZONSPOR SPORTIF,BIST,,,TR,TRY,borsa_istanbul
TTKOM.IS,TURK TELEKOM,BIST,,,TR,TRY,borsa_istanbul
TTRAK.IS,TURK TRAKTOR,BIST,,,TR,TRY,borsa_istanbul
TUKAS.IS,TUKAS,BIST,,,TR,TRY,borsa_istanbul
TUPRS.IS,TUPRAS,BIST,,,TR,TRY,borsa_istanbul
TUREX.IS,TUREKS TURIZM TASIMACILIK,BIST,,,TR,TRY,borsa_istanbul
TURSG.IS,TURKIYE SIGORTA,BIST,,,TR,TRY,borsa_istanbul
ULKER.IS,ULKER BISKUVI,BIST,,,TR,TRY,borsa_istanbul
VAKBN.IS,VAKIFLAR BANKASI,BIST,,,TR,TRY,borsa_istanbul
VESTL.IS,VESTEL,BIST,,,TR,TRY,borsa_istanbul
YEOTK.IS,YEO TEKNOLOJI ENERJI,BIST,,,TR,TRY,borsa_istanbul
YKBNK.IS,YAPI VE KREDI BANK.,BIST,,,TR,TRY,borsa_istanbul
ZOREN.IS,ZORLU ENERJI,BIST,,,TR,TRY,borsa_istanbul
